vote_id,party,total,yes,no,not_in,refrained,excused

67018,ANO,78,74,0,2,2,0

67018,ODS,25,24,0,1,0,0

67018,Piráti,22,22,0,0,0,0

67018,SPD,22,22,0,0,0,0

67018,ČSSD,15,13,0,0,2,0

67018,KSČM,15,14,0,0,0,1

67018,KDU-ČSL,10,9,0,0,1,0

67018,TOP09,7,7,0,0,0,0

67018,STAN,6,6,0,0,0,0

67019,ANO,78,75,0,1,2,0

67019,ODS,25,25,0,0,0,0

67019,Piráti,22,22,0,0,0,0

67019,SPD,22,22,0,0,0,0

67019,ČSSD,15,14,0,0,1,0

67019,KSČM,15,14,0,0,0,1

67019,KDU-ČSL,10,9,0,0,1,0

67019,TOP09,7,7,0,0,0,0

67019,STAN,6,6,0,0,0,0

67020,ANO,78,0,76,1,1,0

67020,ODS,25,21,1,0,3,0

67020,Piráti,22,0,22,0,0,0

67020,SPD,22,1,20,0,1,0

67020,ČSSD,15,8,5,0,2,0

67020,KSČM,15,0,4,0,10,1

67020,KDU-ČSL,10,10,0,0,0,0

67020,TOP09,7,5,1,0,1,0

67020,STAN,6,5,0,0,1,0

67021,ANO,78,0,77,0,1,0

67021,ODS,25,8,4,0,13,0

67021,Piráti,22,22,0,0,0,0

67021,SPD,22,0,8,0,14,0

67021,ČSSD,15,5,6,0,4,0

67021,KSČM,15,0,5,0,9,1

67021,KDU-ČSL,10,10,0,0,0,0

67021,TOP09,7,6,0,0,1,0

67021,STAN,6,5,0,0,1,0

67022,ANO,78,77,0,0,1,0

67022,ODS,25,25,0,0,0,0

67022,Piráti,22,0,18,0,4,0

67022,SPD,22,22,0,0,0,0

67022,ČSSD,15,14,0,0,1,0

67022,KSČM,15,14,0,0,0,1

67022,KDU-ČSL,10,10,0,0,0,0

67022,TOP09,7,6,1,0,0,0

67022,STAN,6,6,0,0,0,0

67023,ANO,78,78,0,0,0,0

67023,ODS,25,25,0,0,0,0

67023,Piráti,22,20,0,1,0,1

67023,SPD,22,22,0,0,0,0

67023,ČSSD,15,10,0,3,1,1

67023,KSČM,15,14,0,1,0,0

67023,KDU-ČSL,10,8,0,2,0,0

67023,TOP09,7,6,0,1,0,0

67023,STAN,6,6,0,0,0,0

67024,ANO,78,78,0,0,0,0

67024,ODS,25,0,23,1,1,0

67024,Piráti,22,0,22,0,0,0

67024,SPD,22,22,0,0,0,0

67024,ČSSD,15,0,0,3,11,1

67024,KSČM,15,15,0,0,0,0

67024,KDU-ČSL,10,0,10,0,0,0

67024,TOP09,7,0,5,1,1,0

67024,STAN,6,0,6,0,0,0

67025,ANO,78,75,0,0,3,0

67025,ODS,25,25,0,0,0,0

67025,Piráti,22,20,1,0,1,0

67025,SPD,22,22,0,0,0,0

67025,ČSSD,15,9,0,2,3,1

67025,KSČM,15,15,0,0,0,0

67025,KDU-ČSL,10,10,0,0,0,0

67025,TOP09,7,6,0,1,0,0

67025,STAN,6,6,0,0,0,0

67026,ANO,78,3,66,1,7,1

67026,ODS,25,24,0,1,0,0

67026,Piráti,22,22,0,0,0,0

67026,SPD,22,22,0,0,0,0

67026,ČSSD,15,0,5,3,5,2

67026,KSČM,15,0,8,0,7,0

67026,KDU-ČSL,10,10,0,0,0,0

67026,TOP09,7,4,0,3,0,0

67026,STAN,6,6,0,0,0,0

67027,ANO,78,76,0,1,0,1

67027,ODS,25,18,1,1,5,0

67027,Piráti,22,22,0,0,0,0

67027,SPD,22,0,5,0,17,0

67027,ČSSD,15,10,0,3,0,2

67027,KSČM,15,15,0,0,0,0

67027,KDU-ČSL,10,3,4,0,3,0

67027,TOP09,7,2,1,3,1,0

67027,STAN,6,0,5,0,1,0

67028,ANO,78,66,0,5,7,0

67028,ODS,25,19,0,0,6,0

67028,Piráti,22,19,0,3,0,0

67028,SPD,22,20,0,0,1,1

67028,ČSSD,15,9,0,5,0,1

67028,KSČM,15,10,0,2,3,0

67028,KDU-ČSL,10,7,0,0,2,1

67028,TOP09,7,5,0,1,0,1

67028,STAN,6,6,0,0,0,0

67029,ANO,78,74,0,1,3,0

67029,ODS,25,23,0,0,2,0

67029,Piráti,22,21,0,1,0,0

67029,SPD,22,20,0,0,1,1

67029,ČSSD,15,9,0,4,1,1

67029,KSČM,15,12,0,2,1,0

67029,KDU-ČSL,10,8,0,0,1,1

67029,TOP09,7,6,0,0,0,1

67029,STAN,6,6,0,0,0,0

67030,ANO,78,74,0,1,3,0

67030,ODS,25,23,0,0,2,0

67030,Piráti,22,19,0,1,2,0

67030,SPD,22,20,0,0,1,1

67030,ČSSD,15,10,0,4,0,1

67030,KSČM,15,12,0,2,1,0

67030,KDU-ČSL,10,8,0,0,1,1

67030,TOP09,7,6,0,0,0,1

67030,STAN,6,6,0,0,0,0

67031,ANO,78,75,0,1,2,0

67031,ODS,25,24,0,0,1,0

67031,Piráti,22,21,0,1,0,0

67031,SPD,22,20,0,0,0,2

67031,ČSSD,15,11,0,3,0,1

67031,KSČM,15,12,0,2,1,0

67031,KDU-ČSL,10,8,0,0,1,1

67031,TOP09,7,6,0,0,0,1

67031,STAN,6,6,0,0,0,0

67032,ANO,78,76,0,1,1,0

67032,ODS,25,25,0,0,0,0

67032,Piráti,22,22,0,0,0,0

67032,SPD,22,20,0,0,0,2

67032,ČSSD,15,11,0,3,0,1

67032,KSČM,15,12,0,2,1,0

67032,KDU-ČSL,10,8,0,0,1,1

67032,TOP09,7,6,0,0,0,1

67032,STAN,6,6,0,0,0,0

67033,ANO,78,72,0,2,4,0

67033,ODS,25,25,0,0,0,0

67033,Piráti,22,22,0,0,0,0

