vote_id,assembly_no,topic_no,title,date,result
67018,1,3,Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,Přijato (zmatečné)
67019,1,3,Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,Přijato
67020,1,0,Procedurální hlasování,20. 11. 2017 14:47,Zamítnuto
67021,1,4,Náv.na stanovení počtu čl. MIV,20. 11. 2017 15:39,Zamítnuto
67022,1,4,Náv.na stanovení počtu čl. MIV,20. 11. 2017 15:39,Přijato
67023,1,6,Návrh na ustavení MIV,22. 11. 2017 10:06,Přijato
67024,1,7,Návrh na potvrzení předsedy MIV,22. 11. 2017 12:57,Přijato
67025,1,8,Inf. MIV o ověření platnosti volby poslanců,22. 11. 2017 13:00,Přijato
67026,1,10,Návrh na stanovení počtu místopředsedů PS,22. 11. 2017 17:23,Zamítnuto
67027,1,10,Návrh na stanovení počtu místopředsedů PS,22. 11. 2017 17:24,Přijato
67028,1,12,Návrh na stanovení počtu ověřovatelů PS,24. 11. 2017 13:31,Přijato
67029,1,13,Návrh na nominaci ověřovatelů PS,24. 11. 2017 13:35,Přijato
67030,1,13,Návrh na nominaci ověřovatelů PS,24. 11. 2017 13:36,Přijato
67031,1,14,Návrh na zřízení výborů PS,24. 11. 2017 13:39,Přijato
67032,1,15,Návrh na stanovení počtu členů výborů PS,24. 11. 2017 13:43,Přijato
67033,1,17,Návrh termínu 2. schůze PS,24. 11. 2017 14:01,Přijato
67034,2,0,Procedurální hlasování,28. 11. 2017 14:08,Přijato
67035,2,0,Pořad schůze,28. 11. 2017 14:11,Přijato
67036,2,0,Pořad schůze,28. 11. 2017 14:12,Přijato
67037,2,2,Náv. na ustavení výborů PS,28. 11. 2017 15:15,Přijato
67038,2,2,Náv. na ustavení výborů PS,28. 11. 2017 15:15,Přijato
67039,2,2,Náv. na ustavení výborů PS,28. 11. 2017 15:16,Přijato
67040,2,2,Náv. na ustavení výborů PS,28. 11. 2017 15:18,Přijato
67041,2,2,Náv. na ustavení výborů PS,28. 11. 2017 15:19,Přijato
67042,2,2,Náv. na ustavení výborů PS,28. 11. 2017 15:19,Přijato
67043,2,2,Náv. na ustavení výborů PS,28. 11. 2017 15:20,Přijato
67044,2,2,Náv. na ustavení výborů PS,28. 11. 2017 15:21,Přijato
67045,2,2,Náv. na ustavení výborů PS,28. 11. 2017 15:22,Přijato
67046,2,2,Náv. na ustavení výborů PS,28. 11. 2017 15:23,Přijato
67047,2,2,Náv. na ustavení výborů PS,28. 11. 2017 15:23,Přijato
67048,2,2,Náv. na ustavení výborů PS,28. 11. 2017 15:24,Přijato
67049,2,2,Náv. na ustavení výborů PS,28. 11. 2017 15:25,Přijato
67050,2,2,Náv. na ustavení výborů PS,28. 11. 2017 15:26,Přijato
67051,2,2,Náv. na ustavení výborů PS,28. 11. 2017 15:27,Přijato
67052,2,2,Náv. na ustavení výborů PS,28. 11. 2017 15:27,Přijato
67053,2,2,Náv. na ustavení výborů PS,28. 11. 2017 15:28,Přijato
67054,2,3,"Návrh na potvrzení platnosti usnesení, kterými Poslanecká sněmovna upr",28. 11. 2017 17:05,Přijato
67055,2,4,Náv. zasedacího pořádku poslanců v jedn. sále PS,28. 11. 2017 17:12,Zamítnuto (zmatečné)
67056,2,4,Náv. zasedacího pořádku poslanců v jedn. sále PS,28. 11. 2017 17:13,Zamítnuto
67057,2,4,Náv. zasedacího pořádku poslanců v jedn. sále PS,28. 11. 2017 17:14,Přijato
67058,2,4,Náv. zasedacího pořádku poslanců v jedn. sále PS,28. 11. 2017 17:14,Přijato
67059,2,5,Návrh na zřízení stálých komisí PS,28. 11. 2017 17:39,Přijato
67060,2,6,Návrh na zřízení SK GIBS a způsobu jejího ustavení nebo volby,28. 11. 2017 17:43,Přijato
67061,2,6,Návrh na zřízení SK GIBS a způsobu jejího ustavení nebo volby,28. 11. 2017 17:44,Zamítnuto (zmatečné)
67062,2,6,Návrh na zřízení SK GIBS a způsobu jejího ustavení nebo volby,28. 11. 2017 17:45,Zamítnuto
67063,2,6,Návrh na zřízení SK GIBS a způsobu jejího ustavení nebo volby,28. 11. 2017 17:46,Přijato
67064,2,7,Návrh na zřízení SK KPO,28. 11. 2017 17:51,Zamítnuto
67065,2,7,Návrh na zřízení SK KPO,28. 11. 2017 17:51,Přijato
67066,2,7,Návrh na zřízení SK KPO,28. 11. 2017 17:52,Zamítnuto
67067,2,7,Návrh na zřízení SK KPO,28. 11. 2017 17:52,Přijato
67068,2,8,Návrh na ustavení SK CEÚ,28. 11. 2017 17:57,Zamítnuto
67069,2,8,Návrh na ustavení SK CEÚ,28. 11. 2017 17:57,Přijato
67070,2,8,Návrh na ustavení SK CEÚ,28. 11. 2017 17:58,Zamítnuto
67071,2,8,Návrh na ustavení SK CEÚ,28. 11. 2017 17:59,Přijato
67072,2,9,Návrh na zřízení Stálé komise pro kontrolu BIS,28. 11. 2017 18:32,Zamítnuto
67073,2,9,Návrh na zřízení Stálé komise pro kontrolu BIS,28. 11. 2017 18:32,Přijato
67074,2,10,Návrh na zřízení stálé komise pro kontrolu NBÚ,28. 11. 2017 18:37,Zamítnuto
67075,2,10,Návrh na zřízení stálé komise pro kontrolu NBÚ,28. 11. 2017 18:38,Přijato
67076,2,11,Návrh na zřízení Stálé komise pro kontrolu VZ,28. 11. 2017 18:41,Zamítnuto
